ID,Все 18+_TVR,Канал_ПЕРВЫЙ КАНАЛ,Канал_РЕН ТВ,Канал_РОССИЯ 1,Канал_СТС,Канал_ТНТ,day,year,month,hour,holidays
156,1.66,0,0,1,0,0,3,2018,11,17,1
157,2.53,0,0,1,0,0,3,2018,11,18,1
158,2.36,0,0,1,0,0,3,2018,11,19,1
159,3.16,0,0,1,0,0,3,2018,11,20,1
160,2.92,0,0,1,0,0,3,2018,11,21,1
161,2.66,0,0,1,0,0,3,2018,11,22,1
162,2.94,0,0,1,0,0,3,2018,11,23,1
163,3.91,0,0,1,0,0,4,2018,11,0,1
164,3.32,0,0,1,0,0,4,2018,11,1,1
165,1.75,0,0,1,0,0,4,2018,11,2,1
166,1.14,0,0,1,0,0,4,2018,11,3,1
167,0.47,0,0,1,0,0,4,2018,11,4,1
168,0.19,0,0,0,1,0,3,2018,11,5,1
169,0.2,0,0,0,1,0,3,2018,11,6,1
170,0.05,0,0,0,1,0,3,2018,11,7,1
171,0.17,0,0,0,1,0,3,2018,11,8,1
172,0.42,0,0,0,1,0,3,2018,11,9,1
173,0.35,0,0,0,1,0,3,2018,11,10,1
174,0.5,0,0,0,1,0,3,2018,11,11,1
175,1.13,0,0,0,1,0,3,2018,11,12,1
176,0.77,0,0,0,1,0,3,2018,11,13,1
177,0.53,0,0,0,1,0,3,2018,11,14,1
178,0.83,0,0,0,1,0,3,2018,11,15,1
179,1.23,0,0,0,1,0,3,2018,11,16,1
180,1.23,0,0,0,1,0,3,2018,11,17,1
181,1.54,0,0,0,1,0,3,2018,11,18,1
182,1.1,0,0,0,1,0,3,2018,11,19,1
183,1.42,0,0,0,1,0,3,2018,11,20,1
184,2.06,0,0,0,1,0,3,2018,11,21,1
185,1.67,0,0,0,1,0,3,2018,11,22,1
186,1.43,0,0,0,1,0,3,2018,11,23,1
187,1.39,0,0,0,1,0,4,2018,11,0,1
188,0.98,0,0,0,1,0,4,2018,11,1,1
189,0.17,0,0,0,1,0,4,2018,11,2,1
190,0.04,0,0,0,1,0,4,2018,11,3,1
191,0.0,0,0,0,1,0,4,2018,11,4,1
192,0.65,0,1,0,0,0,3,2018,11,5,1
193,0.83,0,1,0,0,0,3,2018,11,6,1
194,0.99,0,1,0,0,0,3,2018,11,7,1
195,1.6,0,1,0,0,0,3,2018,11,8,1
196,0.9,0,1,0,0,0,3,2018,11,9,1
197,0.92,0,1,0,0,0,3,2018,11,10,1
198,1.41,0,1,0,0,0,3,2018,11,11,1
199,1.87,0,1,0,0,0,3,2018,11,12,1
200,1.96,0,1,0,0,0,3,2018,11,13,1
201,1.82,0,1,0,0,0,3,2018,11,14,1
202,1.24,0,1,0,0,0,3,2018,11,15,1
203,1.05,0,1,0,0,0,3,2018,11,16,1
204,1.61,0,1,0,0,0,3,2018,11,17,1
205,1.76,0,1,0,0,0,3,2018,11,18,1
206,1.93,0,1,0,0,0,3,2018,11,19,1
207,1.53,0,1,0,0,0,3,2018,11,20,1
208,0.91,0,1,0,0,0,3,2018,11,21,1
209,1.25,0,1,0,0,0,3,2018,11,22,1
210,1.47,0,1,0,0,0,3,2018,11,23,1
211,1.87,0,1,0,0,0,4,2018,11,0,1
212,1.21,0,1,0,0,0,4,2018,11,1,1
213,1.05,0,1,0,0,0,4,2018,11,2,1
214,1.23,0,1,0,0,0,4,2018,11,3,1
215,0.5,0,1,0,0,0,4,2018,11,4,1
216,0.18,0,0,0,0,1,3,2018,11,5,1
217,0.12,0,0,0,0,1,3,2018,11,6,1
218,0.21,0,0,0,0,1,3,2018,11,7,1
219,0.34,0,0,0,0,1,3,2018,11,8,1
220,0.3,0,0,0,0,1,3,2018,11,9,1
221,0.6,0,0,0,0,1,3,2018,11,10,1
222,0.74,0,0,0,0,1,3,2018,11,11,1
223,0.89,0,0,0,0,1,3,2018,11,12,1
224,0.66,0,0,0,0,1,3,2018,11,13,1
225,0.84,0,0,0,0,1,3,2018,11,14,1
226,1.1,0,0,0,0,1,3,2018,11,15,1
227,1.43,0,0,0,0,1,3,2018,11,16,1
228,1.27,0,0,0,0,1,3,2018,11,17,1
229,0.59,0,0,0,0,1,3,2018,11,18,1
230,1.57,0,0,0,0,1,3,2018,11,19,1
231,2.53,0,0,0,0,1,3,2018,11,20,1
232,2.87,0,0,0,0,1,3,2018,11,21,1
233,3.27,0,0,0,0,1,3,2018,11,22,1
234,1.25,0,0,0,0,1,3,2018,11,23,1
235,0.83,0,0,0,0,1,4,2018,11,0,1
236,0.41,0,0,0,0,1,4,2018,11,1,1
237,0.11,0,0,0,0,1,4,2018,11,2,1
238,0.24,0,0,0,0,1,4,2018,11,3,1
239,0.31,0,0,0,0,1,4,2018,11,4,1
240,0.06,1,0,0,0,0,4,2018,11,5,1
241,0.17,1,0,0,0,0,4,2018,11,6,1
242,0.19,1,0,0,0,0,4,2018,11,7,1
243,0.22,1,0,0,0,0,4,2018,11,8,1
244,1.23,1,0,0,0,0,4,2018,11,9,1
245,1.72,1,0,0,0,0,4,2018,11,10,1
246,3.05,1,0,0,0,0,4,2018,11,11,1
247,2.11,1,0,0,0,0,4,2018,11,12,1
248,0.97,1,0,0,0,0,4,2018,11,13,1
249,1.29,1,0,0,0,0,4,2018,11,14,1
250,1.25,1,0,0,0,0,4,2018,11,15,1
251,1.32,1,0,0,0,0,4,2018,11,16,1
252,1.68,1,0,0,0,0,4,2018,11,17,1
253,2.72,1,0,0,0,0,4,2018,11,18,1
254,3.06,1,0,0,0,0,4,2018,11,19,1
255,3.2,1,0,0,0,0,4,2018,11,20,1
256,2.86,1,0,0,0,0,4,2018,11,21,1
257,3.69,1,0,0,0,0,4,2018,11,22,1
258,3.79,1,0,0,0,0,4,2018,11,23,1
259,0.26,0,0,1,0,0,4,2018,11,5,1
260,0.37,0,0,1,0,0,4,2018,11,6,1
261,0.42,0,0,1,0,0,4,2018,11,7,1
262,0.54,0,0,1,0,0,4,2018,11,8,1
263,1.63,0,0,1,0,0,4,2018,11,9,1
264,1.73,0,0,1,0,0,4,2018,11,10,1
265,1.71,0,0,1,0,0,4,2018,11,11,1
266,2.79,0,0,1,0,0,4,2018,11,12,1
267,3.12,0,0,1,0,0,4,2018,11,13,1
268,3.23,0,0,1,0,0,4,2018,11,14,1
269,2.92,0,0,1,0,0,4,2018,11,15,1
270,3.73,0,0,1,0,0,4,2018,11,16,1
271,3.45,0,0,1,0,0,4,2018,11,17,1
272,3.5,0,0,1,0,0,4,2018,11,18,1
273,4.51,0,0,1,0,0,4,2018,11,19,1
274,5.27,0,0,1,0,0,4,2018,11,20,1
275,5.73,0,0,1,0,0,4,2018,11,21,1
276,5.91,0,0,1,0,0,4,2018,11,22,1
277,4.96,0,0,1,0,0,4,2018,11,23,1
278,0.05,0,0,0,1,0,4,2018,11,5,1
279,0.08,0,0,0,1,0,4,2018,11,6,1
280,0.04,0,0,0,1,0,4,2018,11,7,1
281,0.01,0,0,0,1,0,4,2018,11,8,1
282,0.53,0,0,0,1,0,4,2018,11,9,1
283,1.28,0,0,0,1,0,4,2018,11,10,1
284,0.77,0,0,0,1,0,4,2018,11,11,1
285,0.61,0,0,0,1,0,4,2018,11,12,1
286,0.64,0,0,0,1,0,4,2018,11,13,1
287,1.43,0,0,0,1,0,4,2018,11,14,1
288,1.5,0,0,0,1,0,4,2018,11,15,1
289,2.48,0,0,0,1,0,4,2018,11,16,1
290,2.71,0,0,0,1,0,4,2018,11,17,1
291,2.77,0,0,0,1,0,4,2018,11,18,1
292,2.85,0,0,0,1,0,4,2018,11,19,1
293,3.61,0,0,0,1,0,4,2018,11,20,1
294,3.84,0,0,0,1,0,4,2018,11,21,1
295,4.09,0,0,0,1,0,4,2018,11,22,1
296,3.14,0,0,0,1,0,4,2018,11,23,1
297,0.4,0,1,0,0,0,4,2018,11,5,1
298,0.38,0,1,0,0,0,4,2018,11,6,1
299,0.41,0,1,0,0,0,4,2018,11,7,1
300,0.45,0,1,0,0,0,4,2018,11,8,1
301,0.59,0,1,0,0,0,4,2018,11,9,1
302,1.84,0,1,0,0,0,4,2018,11,10,1
303,1.45,0,1,0,0,0,4,2018,11,11,1
304,1.66,0,1,0,0,0,4,2018,11,12,1
305,2.38,0,1,0,0,0,4,2018,11,13,1
306,2.14,0,1,0,0,0,4,2018,11,14,1
307,2.03,0,1,0,0,0,4,2018,11,15,1
308,2.84,0,1,0,0,0,4,2018,11,16,1
309,2.72,0,1,0,0,0,4,2018,11,17,1
310,2.7,0,1,0,0,0,4,2018,11,18,1
311,2.06,0,1,0,0,0,4,2018,11,19,1
312,2.13,0,1,0,0,0,4,2018,11,20,1
313,2.2,0,1,0,0,0,4,2018,11,21,1
314,1.43,0,1,0,0,0,4,2018,11,22,1
315,2.1,0,1,0,0,0,4,2018,11,23,1
